idx,Date,Temperature,Stopped (LGR S/N: 20782708),End Of File (LGR S/N: 20782708)
882,11/22/2022 20:26,23.81,,
883,11/22/2022 20:27,23.81,,
884,11/22/2022 20:27,23.82,,
885,11/22/2022 20:27,23.75,,
886,11/22/2022 20:27,23.78,,
887,11/22/2022 20:27,23.78,,
888,11/22/2022 20:27,23.75,,
889,11/22/2022 20:28,23.83,,
890,11/22/2022 20:28,23.77,,
891,11/22/2022 20:28,23.83,,
892,11/22/2022 20:28,23.82,,
893,11/22/2022 20:28,23.79,,
894,11/22/2022 20:28,23.81,,
895,11/22/2022 20:29,23.86,,
896,11/22/2022 20:29,23.84,,
897,11/22/2022 20:29,23.8,,
898,11/22/2022 20:29,23.75,,
899,11/22/2022 20:29,23.79,,
900,11/22/2022 20:29,23.74,,
901,11/22/2022 20:30,23.75,,
902,11/22/2022 20:30,23.78,,
903,11/22/2022 20:30,23.73,,
904,11/22/2022 20:30,23.77,,
905,11/22/2022 20:30,23.76,,
906,11/22/2022 20:30,23.79,,
907,11/22/2022 20:31,23.77,,
908,11/22/2022 20:31,23.78,,
909,11/22/2022 20:31,23.8,,
910,11/22/2022 20:31,23.78,,
911,11/22/2022 20:31,23.84,,
912,11/22/2022 20:31,23.82,,
913,11/22/2022 20:32,23.82,,
914,11/22/2022 20:32,23.8,,
915,11/22/2022 20:32,23.74,,
916,11/22/2022 20:32,23.75,,
917,11/22/2022 20:32,23.76,,
918,11/22/2022 20:32,23.77,,
919,11/22/2022 20:33,23.72,,
920,11/22/2022 20:33,23.74,,
921,11/22/2022 20:33,23.73,,
922,11/22/2022 20:33,23.73,,
923,11/22/2022 20:33,23.75,,
924,11/22/2022 20:33,23.8,,
925,11/22/2022 20:34,23.75,,
926,11/22/2022 20:34,23.75,,
927,11/22/2022 20:34,23.74,,
928,11/22/2022 20:34,23.74,,
929,11/22/2022 20:34,23.81,,
930,11/22/2022 20:34,23.76,,
931,11/22/2022 20:35,23.79,,
932,11/22/2022 20:35,23.77,,
933,11/22/2022 20:35,23.83,,
934,11/22/2022 20:35,23.81,,
